name,중량,칼로리,탄수화물,당류,지방,단백질,나트륨
파스타,400,650,95,,20,18,
크림파스타,400,900,90,,48,22,
까르보나라,400,900,88,,45,28,
알리오올리오,350,600,85,,22,14,
봉골레파스타,400,550,82,,14,22,
뇨끼,300,450,65,,16,12,
리조또,350,480,65,,18,12,
라자냐,300,480,40,,24,24,
빠에야,400,600,80,,18,28,
부리토,350,600,70,,24,25,
부리토볼,400,650,75,,24,30,
타코,200,420,38,,22,18,
퀘사디아,250,550,45,,30,24,
나초,200,500,50,,30,12,
케밥,300,600,55,,28,35,
감바스,200,400,6,,32,22,
보쌈,200,500,2,,36,40,
규동,450,700,100,,22,25,
텐동,450,800,110,,28,24,
가츠동,450,800,105,,28,28,
라멘,600,550,70,,20,22,
소바,400,400,80,,4,16,
야끼소바,400,550,75,,20,16,
연어덮밥,400,550,75,,15,28,
연어포케,400,580,70,,20,28,
포케,400,560,72,,18,26,
타코야끼,200,400,45,,18,12,
가라아게,200,480,20,,32,28,
오트밀,250,150,27,,3,5,
그래놀라,50,220,32,,8,5,
마라샹궈,400,600,30,,40,28,
마라룽샤,300,350,8,,16,40,
유린기,250,500,30,,30,28,
꿔바로우,250,600,60,,32,20,
양꼬치,150,400,2,,28,34,
곱창,200,500,2,,42,24,
대창,150,600,1,,60,10,
막창,150,450,1,,42,16,
닭발,200,400,12,,26,30,
스테이크,200,450,0,,26,52,
시저샐러드,250,350,12,,28,12,
연어샐러드,250,320,10,,20,22,
아보카도샐러드,200,250,15,,20,4,
쉑쉑버거,250,550,45,,30,28,
팬케이크,200,500,70,,18,10,
크레페,200,400,55,,16,8,
스콘,80,350,42,,18,6,
버블티,500,350,65,,8,3,
프로틴쉐이크,300,200,15,,4,25,
붕어빵,100,230,45,,4,5,
삶은옥수수,200,200,44,,2,6,
군고구마,200,260,60,,0.4,3,
고구마,150,200,47,,0.3,2,
단호박,150,100,25,,0.2,2,
삶은계란,100,155,1.1,,11,13,
두부,150,120,3,,7,13,
두유,200,110,10,,5,7,
요거트,150,100,17,,3,5,
아보카도,100,160,9,,15,2,
사과,200,100,27,,0.3,0.5,
바나나,120,105,27,,0.4,1.3,
딸기,150,48,11,,0.4,1,
포도,150,90,24,,0.2,0.6,
수박,300,90,23,,0.6,1.8,
