code,name,status
00000000,,background
01011001,쌀밥,auto
01012001,기타잡곡밥,auto
01012002,콩밥,auto
01012003,보리밥,auto
01012004,돌솥밥,auto
01012005,현미밥,auto
01012006,흑미밥,auto
01013001,감자밥,auto
01013002,곤드레밥,auto
01014001,김치볶음밥,auto
01014002,주먹밥,auto
01014003,볶음밥,auto
01014004,일반비빔밥,auto
01014005,전주비빔밥,auto
01014006,삼선볶음밥,auto
01014007,새우볶음밥,auto
01014008,알밥,auto
01014009,산채비빔밥,auto
01014010,오므라이스,auto
01014011,육회비빔밥,auto
01014012,해물볶음밥,auto
01014013,열무비빔밥,auto
01015002,불고기덮밥,auto
01015003,소고기국밥,auto
01015004,송이덮밥,auto
01015005,오징어덮밥,auto
01015006,자장밥,auto
01015007,잡채밥,auto
01015008,잡탕밥,auto
01015009,장어덮밥,auto
01015010,제육덮밥,auto
01015011,짬뽕밥,auto
01015012,순대국밥,auto
01015013,카레라이스,auto
01015014,전주콩나물국밥,auto
01015015,해물덮밥,auto
01015016,회덮밥,auto
01015017,소머리국밥,auto
01015018,돼지국밥,auto
01015019,하이라이스,auto
01016001,김치김밥,auto
01016002,농어초밥,auto
01016003,문어초밥,auto
01016004,새우초밥,auto
01016005,새우튀김롤,auto
01016006,샐러드김밥,auto
01016007,광어초밥,auto
01016008,소고기김밥,auto
01016009,갈비삼각김밥,auto
01016010,연어롤,auto
01016011,연어초밥,auto
01016012,유부초밥,auto
01016013,장어초밥,auto
01016014,참치김밥,auto
01016015,참치마요삼각김밥,auto
01016016,치즈김밥,auto
01016017,캘리포니아롤,auto
01016018,한치초밥,auto
01016019,일반김밥,auto
01016020,간자장,auto
02011001,굴짬뽕,auto
02011002,기스면,auto
02011003,김치라면,auto
02011004,김치우동,auto
02011005,김치말이국수,auto
02011006,닭칼국수,auto
02011007,들깨칼국수,auto
02011008,떡라면,auto
02011009,라면,auto
02011010,막국수,auto
02011011,메밀국수,auto
02011012,물냉면,auto
02011013,비빔국수,auto
02011014,비빔냉면,auto
02011015,삼선우동,auto
02011016,삼선자장면,auto
02011017,삼선짬뽕,auto
02011018,수제비,auto
02011019,쌀국수,auto
02011020,열무김치국수,auto
02011021,오일소스스파게티,auto
02011023,일식우동,auto
02011024,볶음우동,auto
02011025,자장면,auto
02011027,잔치국수,auto
02011028,짬뽕,auto
02011029,짬뽕라면,auto
02011030,쫄면,auto
02011031,치즈라면,auto
02011032,콩국수,auto
02011033,크림소스스파게티,auto
02011034,토마토소스스파게티,auto
02011035,해물칼국수,auto
02011036,회냉면,auto
02011037,떡국,auto
02011038,떡만둣국,auto
02011039,짜장라면,auto
02011040,고기만두,auto
02012001,군만두,auto
02012002,김치만두,auto
02012003,물만두,auto
02012004,만둣국,auto
02012005,게살죽,auto
03011001,깨죽,auto
03011002,닭죽,auto
03011003,소고기버섯죽,auto
03011004,어죽,auto
03011005,잣죽,auto
03011006,전복죽,auto
03011007,참치죽,auto
03011008,채소죽,auto
03011009,팥죽,auto
03011010,호박죽,auto
03011011,콘스프,auto
03012001,토마토스프,auto
03012002,굴국,auto
04011001,김치국,auto
04011002,달걀국,auto
04011003,감자국,auto
04011004,미역국,auto
04011005,바지락조개국,auto
04011006,소고기무국,auto
04011007,소고기미역국,auto
04011008,순대국,auto
04011009,어묵국,auto
04011010,오징어국,auto
04011011,토란국,auto
04011012,탕국,auto
04011013,홍합미역국,auto
04011014,황태해장국,auto
04011015,근대된장국,auto
04011016,미소된장국,auto
04012001,배추된장국,auto
04012002,뼈다귀해장국,auto
04012003,선지(해장)국,auto
04012004,콩나물국,auto
04012005,시금치된장국,auto
04012006,시래기된장국,auto
04012007,쑥된장국,auto
04012008,아욱된장국,auto
04012009,우거지된장국,auto
04012010,우거지해장국,auto
04012011,우렁된장국,auto
04012012,갈비탕,auto
04012013,감자탕,auto
04013002,곰탕,auto
04013003,매운탕,auto
04013004,꼬리곰탕,auto
04013005,꽃게탕,auto
04013006,낙지탕,auto
04013007,내장탕,auto
04013008,닭곰탕,auto
04013009,닭볶음탕,auto
04013010,지리탕,auto
04013011,도가니탕,auto
04013012,삼계탕,auto
04013013,설렁탕,auto
04013014,알탕,auto
04013015,연포탕,auto
04013017,오리탕,auto
04013018,추어탕,auto
04013019,해물탕,auto
04013020,닭개장,auto
04013021,육개장,auto
04013022,뼈해장국,auto
04013023,미역오이냉국,auto
04013024,고등어찌개,auto
04014001,꽁치찌개,auto
04015001,동태찌개,auto
04015002,부대찌개,auto
04015003,된장찌개,auto
04016001,청국장찌개,auto
04017001,두부전골,auto
04017002,곱창전골,auto
04018001,소고기전골,auto
04018002,국수전골,auto
04018003,돼지고기김치찌개,auto
04018004,버섯찌개,auto
04019001,참치김치찌개,auto
04019002,순두부찌개,auto
04019004,콩비지찌개,auto
04019005,햄김치찌개,auto
04019006,호박찌개,auto
04019007,고추장찌개,auto
04019008,대구찜,auto
05011001,도미찜,auto
05011002,문어숙회,auto
05011004,아귀찜,auto
05011008,조기찜,auto
05011010,참꼬막,auto
05011011,해물찜,auto
05011012,소갈비찜,auto
05012001,돼지갈비찜,auto
05012002,돼지고기수육,auto
05012003,찜닭,auto
05012004,족발,auto
05012005,달걀찜,auto
05013001,닭갈비,auto
06012001,닭꼬치,auto
06012002,돼지갈비,auto
06012003,떡갈비,auto
06012004,불고기,auto
06012005,소곱창구이,auto
