name,중량,칼로리,탄수화물,당류,지방,단백질,나트륨,source,basis
파스타,400.0,650.0,95.0,,20.0,18.0,,추가,1인분
크림파스타,400.0,900.0,90.0,,48.0,22.0,,추가,1인분
까르보나라,400.0,900.0,88.0,,45.0,28.0,,추가,1인분
알리오올리오,350.0,600.0,85.0,,22.0,14.0,,추가,1인분
봉골레파스타,400.0,550.0,82.0,,14.0,22.0,,추가,1인분
뇨끼,300.0,450.0,65.0,,16.0,12.0,,추가,1인분
리조또,350.0,480.0,65.0,,18.0,12.0,,추가,1인분
라자냐,300.0,480.0,40.0,,24.0,24.0,,추가,1인분
빠에야,400.0,600.0,80.0,,18.0,28.0,,추가,1인분
부리토,350.0,600.0,70.0,,24.0,25.0,,추가,1인분
부리토볼,400.0,650.0,75.0,,24.0,30.0,,추가,1인분
타코,200.0,420.0,38.0,,22.0,18.0,,추가,1인분
퀘사디아,250.0,550.0,45.0,,30.0,24.0,,추가,1인분
나초,200.0,500.0,50.0,,30.0,12.0,,추가,1인분
케밥,300.0,600.0,55.0,,28.0,35.0,,추가,1인분
감바스,200.0,400.0,6.0,,32.0,22.0,,추가,1인분
보쌈,200.0,500.0,2.0,,36.0,40.0,,추가,1인분
규동,450.0,700.0,100.0,,22.0,25.0,,추가,1인분
텐동,450.0,800.0,110.0,,28.0,24.0,,추가,1인분
가츠동,450.0,800.0,105.0,,28.0,28.0,,추가,1인분
라멘,600.0,550.0,70.0,,20.0,22.0,,추가,1인분
소바,400.0,400.0,80.0,,4.0,16.0,,추가,1인분
야끼소바,400.0,550.0,75.0,,20.0,16.0,,추가,1인분
연어덮밥,400.0,550.0,75.0,,15.0,28.0,,추가,1인분
연어포케,400.0,580.0,70.0,,20.0,28.0,,추가,1인분
포케,400.0,560.0,72.0,,18.0,26.0,,추가,1인분
타코야끼,200.0,400.0,45.0,,18.0,12.0,,추가,1인분
가라아게,200.0,480.0,20.0,,32.0,28.0,,추가,1인분
오트밀,250.0,150.0,27.0,,3.0,5.0,,추가,1인분
그래놀라,50.0,220.0,32.0,,8.0,5.0,,추가,1인분
마라샹궈,400.0,600.0,30.0,,40.0,28.0,,추가,1인분
마라룽샤,300.0,350.0,8.0,,16.0,40.0,,추가,1인분
유린기,250.0,500.0,30.0,,30.0,28.0,,추가,1인분
꿔바로우,250.0,600.0,60.0,,32.0,20.0,,추가,1인분
양꼬치,150.0,400.0,2.0,,28.0,34.0,,추가,1인분
곱창,200.0,500.0,2.0,,42.0,24.0,,추가,1인분
대창,150.0,600.0,1.0,,60.0,10.0,,추가,1인분
막창,150.0,450.0,1.0,,42.0,16.0,,추가,1인분
닭발,200.0,400.0,12.0,,26.0,30.0,,추가,1인분
스테이크,200.0,450.0,0.0,,26.0,52.0,,추가,1인분
시저샐러드,250.0,350.0,12.0,,28.0,12.0,,추가,1인분
연어샐러드,250.0,320.0,10.0,,20.0,22.0,,추가,1인분
아보카도샐러드,200.0,250.0,15.0,,20.0,4.0,,추가,1인분
쉑쉑버거,250.0,550.0,45.0,,30.0,28.0,,추가,1인분
팬케이크,200.0,500.0,70.0,,18.0,10.0,,추가,1인분
크레페,200.0,400.0,55.0,,16.0,8.0,,추가,1인분
스콘,80.0,350.0,42.0,,18.0,6.0,,추가,1인분
버블티,500.0,350.0,65.0,,8.0,3.0,,추가,1인분
프로틴쉐이크,300.0,200.0,15.0,,4.0,25.0,,추가,1인분
붕어빵,100.0,230.0,45.0,,4.0,5.0,,추가,1인분
삶은옥수수,200.0,200.0,44.0,,2.0,6.0,,추가,1인분
군고구마,200.0,260.0,60.0,,0.4,3.0,,추가,1인분
고구마,150.0,200.0,47.0,,0.3,2.0,,추가,1인분
단호박,150.0,100.0,25.0,,0.2,2.0,,추가,1인분
삶은계란,100.0,155.0,1.1,,11.0,13.0,,추가,1인분
두부,150.0,120.0,3.0,,7.0,13.0,,추가,1인분
두유,200.0,110.0,10.0,,5.0,7.0,,추가,1인분
요거트,150.0,100.0,17.0,,3.0,5.0,,추가,1인분
아보카도,100.0,160.0,9.0,,15.0,2.0,,추가,1인분
사과,200.0,100.0,27.0,,0.3,0.5,,추가,1인분
바나나,120.0,105.0,27.0,,0.4,1.3,,추가,1인분
딸기,150.0,48.0,11.0,,0.4,1.0,,추가,1인분
포도,150.0,90.0,24.0,,0.2,0.6,,추가,1인분
수박,300.0,90.0,23.0,,0.6,1.8,,추가,1인분
귤,100.0,50.0,13.0,,0.2,0.7,,추가,1인분
키위,100.0,60.0,15.0,,0.5,1.1,,추가,1인분
망고,200.0,120.0,30.0,,0.8,1.6,,추가,1인분
방울토마토,150.0,27.0,6.0,,0.3,1.3,,추가,1인분
곤약밥,200.0,100.0,22.0,,0.3,2.0,,추가,1인분
곤약젤리,150.0,15.0,6.0,,0.0,0.0,,추가,1인분
두부면,100.0,70.0,3.0,,3.0,8.0,,추가,1인분
닭가슴살볼,100.0,130.0,6.0,,3.0,20.0,,추가,1인분
샐러드파스타,350.0,450.0,55.0,,18.0,14.0,,추가,1인분
병아리콩,100.0,165.0,27.0,,2.6,9.0,,추가,1인분
렌틸콩,100.0,115.0,20.0,,0.4,9.0,,추가,1인분
퀴노아,100.0,120.0,21.0,,1.9,4.4,,추가,1인분
아보카도토스트,150.0,320.0,30.0,,20.0,8.0,,추가,1인분
수란,50.0,70.0,0.4,,5.0,6.0,,추가,1인분
감태김밥,230.0,430.0,70.0,,10.0,10.0,,추가,1인분
탕후루,100.0,150.0,38.0,,0.2,1.0,,추가,1인분
두바이초콜릿,50.0,300.0,28.0,,20.0,5.0,,추가,1인분
요아정,250.0,280.0,52.0,,5.0,7.0,,추가,1인분
평양냉면,700.0,450.0,85.0,,5.0,18.0,,추가,1인분
들기름막국수,400.0,550.0,80.0,,20.0,14.0,,추가,1인분
제로콜라,355.0,0.0,0.0,,0.0,0.0,,추가,1인분
컵밥,350.0,500.0,75.0,,15.0,15.0,,추가,1인분
전주비빔삼각김밥,100.0,190.0,33.0,,4.0,5.0,,추가,1인분
스팸마요삼각김밥,100.0,215.0,33.0,,7.0,5.0,,추가,1인분
편의점도시락,450.0,650.0,90.0,,22.0,22.0,,추가,1인분
불고기도시락,450.0,680.0,95.0,,22.0,24.0,,추가,1인분
핫바,80.0,160.0,14.0,,9.0,7.0,,추가,1인분
초코우유,200.0,160.0,26.0,,4.0,5.0,,추가,1인분
컵누들,38.0,170.0,26.0,,6.0,4.0,,추가,1인분
닭가슴살소시지,100.0,110.0,4.0,,3.0,16.0,,추가,1인분
컵과일,150.0,70.0,17.0,,0.3,0.5,,추가,1인분
구운계란,100.0,155.0,1.5,,11.0,13.0,,추가,1인분
무가당요거트,150.0,80.0,9.0,,3.0,6.0,,추가,1인분
곤약떡볶이,250.0,180.0,38.0,,2.0,5.0,,추가,1인분
오이,100.0,15.0,3.6,,0.1,0.7,,추가,1인분
닭안심,100.0,105.0,0.0,,1.5,23.0,,추가,1인분
참치캔,100.0,120.0,0.0,,1.5,26.0,,추가,1인분
계란흰자,66.0,34.0,0.5,,0.1,7.0,,추가,1인분
코티지치즈,100.0,98.0,3.4,,4.3,11.0,,추가,1인분
프로틴바,50.0,200.0,22.0,,6.0,20.0,,추가,1인분
닭가슴살,100.0,110.0,0.0,,1.5,23.0,,추가,1인분
그릭요거트,150.0,130.0,6.0,,5.0,15.0,,추가,1인분
카라멜마키아토,355.0,250.0,37.0,,7.0,7.0,,추가,1인분
돌체라떼,355.0,280.0,40.0,,9.0,7.0,,추가,1인분
자몽허니블랙티,355.0,160.0,40.0,,0.0,0.0,,추가,1인분
연유라떼,355.0,290.0,42.0,,9.0,7.0,,추가,1인분
김치덮밥,400.0,600.0,95.0,,15.0,15.0,,추가,1인분
김치알밥,400.0,550.0,90.0,,12.0,14.0,,추가,1인분
골뱅이소면,350.0,450.0,65.0,,10.0,22.0,,추가,1인분
북엇국,400.0,120.0,6.0,,4.0,14.0,,추가,1인분
목살구이,200.0,460.0,0.0,,32.0,40.0,,추가,1인분
la갈비,250.0,650.0,8.0,,48.0,42.0,,추가,1인분
오뎅,200.0,150.0,16.0,,5.0,10.0,,추가,1인분
떡꼬치,120.0,250.0,52.0,,4.0,4.0,,추가,1인분
김자반,15.0,70.0,6.0,,4.0,3.0,,추가,1인분
폭립,300.0,750.0,25.0,,52.0,45.0,,추가,1인분
회,200.0,220.0,1.0,,5.0,42.0,,추가,1인분
연어회,150.0,270.0,0.0,,17.0,30.0,,추가,1인분
돈부리,450.0,700.0,100.0,,22.0,26.0,,추가,1인분
규카츠,250.0,700.0,40.0,,42.0,35.0,,추가,1인분
사케동,400.0,600.0,80.0,,18.0,30.0,,추가,1인분
중국냉면,600.0,600.0,90.0,,16.0,24.0,,추가,1인분
치킨너겟,120.0,300.0,18.0,,18.0,15.0,,추가,1인분
어니언링,100.0,330.0,40.0,,17.0,4.0,,추가,1인분
와인,150.0,125.0,4.0,,0.0,0.1,,추가,1인분
레드와인,150.0,125.0,4.0,,0.0,0.1,,추가,1인분
하이볼,350.0,180.0,14.0,,0.0,0.0,,추가,1인분
사케,100.0,135.0,5.0,,0.0,0.5,,추가,1인분
청하,300.0,270.0,11.0,,0.0,1.0,,추가,1인분
부대전골,600.0,650.0,45.0,,35.0,32.0,,추가,1인분
닭한마리,500.0,550.0,30.0,,18.0,55.0,,추가,1인분
매운족발,250.0,520.0,12.0,,34.0,42.0,,추가,1인분
부대볶음,400.0,600.0,40.0,,34.0,30.0,,추가,1인분
옥수수콘,100.0,90.0,19.0,,1.0,3.0,,추가,1인분
돈까스,200.0,530.0,42.0,3.0,28.0,27.0,900.0,추가,1인분
계란말이,120.0,180.0,3.0,1.0,13.0,12.0,400.0,추가+검색보정,1인분
계란찜,200.0,110.0,2.0,1.0,7.0,10.0,500.0,추가,1인분
아구찜,300.0,280.0,15.0,6.0,9.0,33.0,1200.0,추가,1인분
초밥,200.0,350.0,65.0,8.0,4.0,15.0,700.0,추가,1인분
치즈케이크,120.0,320.0,30.0,24.0,20.0,6.0,250.0,추가,1인분
마카롱,40.0,180.0,26.0,24.0,8.0,3.0,30.0,추가,1인분
카푸치노,200.0,110.0,9.0,9.0,5.0,6.0,80.0,추가,1인분
아메리카노,350.0,15.0,3.0,0.0,0.5,1.0,10.0,추가,1인분
핫도그,140.0,360.0,35.0,6.0,20.0,12.0,700.0,추가,1인분
샐러드,200.0,100.0,9.0,5.0,6.0,3.0,250.0,추가+검색보정,1인분
설농탕,600.0,450.0,40.0,2.0,18.0,32.0,1500.0,추가,1인분
수정과,200.0,130.0,33.0,30.0,0.1,0.2,5.0,추가,1인분
콥샐러드,300.0,350.0,12.0,5.0,25.0,22.0,700.0,추가,1인분
아이스티,355.0,90.0,22.0,22.0,0.0,0.0,10.0,추가,1인분
스무디,350.0,180.0,40.0,35.0,2.0,3.0,40.0,추가,1인분
콜드브루,355.0,5.0,1.0,0.0,0.0,0.5,10.0,추가,1인분
레모네이드,355.0,150.0,38.0,36.0,0.0,0.2,15.0,추가,1인분
자몽에이드,400.0,160.0,40.0,38.0,0.1,0.5,20.0,추가,1인분
초코케이크,90.0,350.0,50.0,38.0,16.0,4.0,300.0,추가,1인분
당근케이크,100.0,350.0,45.0,35.0,18.0,4.0,350.0,추가,1인분
크로플,80.0,300.0,30.0,10.0,18.0,5.0,250.0,추가,1인분
와플,100.0,290.0,40.0,12.0,12.0,7.0,400.0,추가,1인분
티라미수,100.0,300.0,30.0,24.0,18.0,5.0,90.0,추가,1인분
쿠키,30.0,140.0,20.0,12.0,6.0,1.5,100.0,추가,1인분
에그타르트,60.0,200.0,22.0,12.0,11.0,3.0,120.0,추가,1인분
마들렌,40.0,160.0,18.0,11.0,9.0,2.5,80.0,추가,1인분
로제떡볶이,300.0,500.0,75.0,15.0,18.0,10.0,1400.0,추가,1인분
팥빙수,400.0,350.0,70.0,50.0,7.0,8.0,120.0,추가,1인분
꿀호떡,90.0,250.0,45.0,22.0,7.0,4.0,150.0,추가,1인분
맥주,500.0,210.0,16.0,0.0,0.0,2.0,20.0,추가,1인분
소주,360.0,360.0,0.0,0.0,0.0,0.0,2.0,추가,1인분
막걸리,300.0,140.0,8.0,3.0,0.0,2.0,10.0,추가,1인분
프라푸치노,470.0,400.0,60.0,55.0,14.0,5.0,250.0,추가,1인분
즉석밥,210.0,310.0,69.0,0.0,0.7,6.0,10.0,추가,1인분
젤리,50.0,160.0,38.0,30.0,0.0,3.0,30.0,추가,1인분
프링글스,30.0,160.0,15.0,0.5,11.0,1.5,140.0,추가,1인분
나시고랭,350.0,550.0,70.0,8.0,22.0,18.0,1200.0,추가,1인분
수제버거,250.0,600.0,45.0,10.0,35.0,30.0,900.0,추가,1인분
타코야키,150.0,320.0,35.0,5.0,16.0,10.0,600.0,추가,1인분
오돌뼈,200.0,350.0,20.0,12.0,18.0,22.0,1300.0,추가,1인분
순대국밥,700.0,600.0,75.0,3.0,18.0,25.0,1800.0,추가,1인분
치킨,250.0,600.0,30.0,3.0,35.0,40.0,1200.0,추가,1인분
돈코츠라멘,500.0,550.0,65.0,8.0,22.0,25.0,2200.0,추가,1인분
곰탕,500.0,400.0,45.0,2.0,14.0,25.0,1500.0,추가,1인분
해장국,500.0,370.0,45.0,3.0,12.0,22.0,1800.0,추가,1인분
간장치킨,250.0,550.0,45.0,15.0,25.0,35.0,1200.0,추가,1인분
반반치킨,250.0,600.0,40.0,12.0,35.0,35.0,1300.0,추가,1인분
핫윙,200.0,500.0,15.0,5.0,35.0,35.0,1400.0,추가,1인분
짜파게티,300.0,600.0,88.0,10.0,20.0,11.0,1300.0,추가,1인분
오코노미야키,300.0,550.0,55.0,12.0,30.0,18.0,1100.0,추가,1인분
떡,100.0,220.0,50.0,3.0,0.5,4.0,10.0,추가,1인분
한과,50.0,220.0,40.0,20.0,6.0,2.0,30.0,추가,1인분
슬러시,350.0,130.0,33.0,30.0,0.0,0.0,20.0,추가,1인분
셔벗,100.0,130.0,32.0,28.0,0.2,0.5,15.0,추가,1인분
불닭볶음면,230.0,530.0,87.0,6.0,16.0,11.0,1230.0,추가,1인분
김치볶음밥,500.0,657.0,95.0,5.0,20.0,14.0,1095.0,추가,1인분
감자탕,900.0,700.0,42.0,2.0,38.0,52.0,2439.0,추가,1인분
공차,500.0,350.0,65.0,46.0,8.0,4.0,90.0,추가,1인분
아사이볼,300.0,300.0,52.0,28.0,9.0,5.0,40.0,추가,1인분
엽떡,350.0,520.0,105.0,20.0,6.0,12.0,1500.0,추가,1인분
까르보불닭,230.0,550.0,82.0,8.0,18.0,13.0,1100.0,추가,1인분
뚱카롱,70.0,300.0,40.0,32.0,14.0,4.0,40.0,추가,1인분
트러플감자튀김,200.0,450.0,55.0,2.0,22.0,6.0,600.0,추가,1인분
쌀밥,210,334.79999999999995,73.71000000000001,0,0.44999999999999996,5.76,59.400000000000006,base,1인분
기타잡곡밥,200,302.362,65.52109999999999,0,0.7462,6.7092,3.3919999999999995,base,1인분
콩밥,200,322.90000000000003,65.846,0,1.6660000000000001,8.427999999999999,4.1,base,1인분
보리밥,200,316.1,70.57,0,0.14,5.55,4.5,base,1인분
